expr;mon_ru;mon_lu;mon_rd;mon_ld;quant;cons_l;cons_r;compl
lambda a, b: len(a) == 0;1.0;0.30536975683660894;1.0;1.0;1.0;1.0;0.8177108946805384;232.82297690374733
lambda a, b: len(b) == 0;0.30536975683660894;1.0;1.0;1.0;1.0;0.8177108946805384;1.0;232.82297690374733
lambda a, b: len(a) != 0;1.0;1.0;1.0;0.0;1.0;1.0;0.7958640189805393;232.82297690374733
lambda a, b: len(b) != 0;1.0;1.0;0.0;1.0;1.0;0.7958640189805393;1.0;232.82297690374733
lambda a, b: set(a) <= set(a);1.0;1.0;1.0;1.0;1.0;1.0;1.0;32.86912615111727
lambda a, b: set(a) <= set(b);1.0;0.709964078837757;0.0;1.0;1.0;1.0;0.8453799558818964;380.7340445837751
lambda a, b: set(b) <= set(a);0.709964078837757;1.0;1.0;0.0;1.0;0.8453799558818964;1.0;350.6040122785842
lambda a, b: set(a) < set(a);1.0;1.0;1.0;1.0;1.0;1.0;1.0;32.86912615111727
lambda a, b: set(a) < set(b);1.0;0.7088379118116608;0.0024710144034205683;1.0;1.0;0.9978754534893318;0.8466794649912042;424.55954611859806
lambda a, b: set(b) < set(a);0.7088379118116608;1.0;1.0;0.0024710144034205683;1.0;0.8466794649912042;0.9978754534893318;419.0813584267452
lambda a, b: not (set(a) <= set(b));0.0038743993126511;1.0;1.0;0.4282050901600113;1.0;1.0;0.8375634382774717;380.7340445837751
lambda a, b: not (set(b) <= set(a));1.0;0.0038743993126511;0.4282050901600113;1.0;1.0;0.8375634382774717;1.0;350.6040122785842
lambda a, b: not (set(a) < set(b));0.0038944420596707108;1.0;1.0;0.0;1.0;0.9981028249860453;0.8390601050383747;424.55954611859806
lambda a, b: not (set(b) < set(a));1.0;0.0038944420596707108;0.0;1.0;1.0;0.8390601050383747;0.9981028249860453;419.0813584267452
lambda a, b: len(a) % 2 == 0;1.0;0.0058048522859701635;1.0;0.0;1.0;1.0;0.5406677600701906;405.38588919711304
lambda a, b: len(b) % 2 == 0;0.0058048522859701635;1.0;0.0;1.0;1.0;0.5406677600701906;1.0;402.6467953511866
lambda a, b: len(a) % 2 != 0;1.0;0.0058048522859701635;1.0;0.01165876223126161;1.0;1.0;0.5406677600701906;405.38588919711304
lambda a, b: len(b) % 2 != 0;0.0058048522859701635;1.0;0.01165876223126161;1.0;1.0;0.5406677600701906;1.0;402.6467953511866
lambda a, b: len(a) == len(b);0.2689253956913592;0.2689253956913592;0.22150646525849205;0.22150646525849205;1.0;0.7130506001031403;0.7130506001031403;1322.9823275824701
lambda a, b: len(a) == 1;1.0;0.20440720156953474;1.0;0.9593117191840783;1.0;1.0;0.8021252732527979;451.9504845778625
lambda a, b: len(b) == 1;0.20440720156953474;1.0;0.9593117191840783;1.0;1.0;0.8021252732527979;1.0;451.9504845778625
lambda a, b: len(a) == 2;1.0;0.12788599339176743;1.0;0.9139388553748619;1.0;1.0;0.7851375708720926;662.8607107141984
lambda a, b: len(b) == 2;0.12788599339176743;1.0;0.9139388553748619;1.0;1.0;0.7851375708720926;1.0;638.2088661008604
lambda a, b: len(a) == 3;1.0;0.07262933427444729;1.0;0.8453587980773449;1.0;1.0;0.7589885953566666;802.5544968564467
lambda a, b: len(b) == 3;0.07262933427444729;1.0;0.8453587980773449;1.0;1.0;0.7589885953566666;1.0;766.9462768594029
lambda a, b: len(a) == 4;1.0;0.044889666134768635;1.0;0.7346908196953885;1.0;1.0;0.7239779763055791;890.2054999260927
lambda a, b: len(b) == 4;0.044889666134768635;1.0;0.7346908196953885;1.0;1.0;0.7239779763055791;1.0;846.3799983912697
lambda a, b: len(a) == 5;1.0;0.06533311206114856;1.0;0.5635636275425717;1.0;1.0;0.6849261774042019;912.1182506935043
lambda a, b: len(b) == 5;0.06533311206114856;1.0;0.5635636275425717;1.0;1.0;0.6849261774042019;1.0;868.2927491586813
lambda a, b: len(a) == 6;1.0;0.17763558812311087;1.0;0.3388414973808186;1.0;1.0;0.6605403859557558;884.7273122342399
lambda a, b: len(b) == 6;0.17763558812311087;1.0;0.3388414973808186;1.0;1.0;0.6605403859557558;1.0;846.3799983912697
lambda a, b: len(a) == 7;1.0;0.4043116992383847;1.0;0.13528310243321484;1.0;1.0;0.6797461344722056;797.0763091645938
lambda a, b: len(b) == 7;0.4043116992383847;1.0;0.13528310243321484;1.0;1.0;0.6797461344722056;1.0;766.9462768594029
lambda a, b: len(a) == 8;1.0;0.6645585657751754;1.0;0.030996081845251933;1.0;1.0;0.7400613612175437;654.643429176419
lambda a, b: len(b) == 8;0.6645585657751754;1.0;0.030996081845251933;1.0;1.0;0.7400613612175437;1.0;638.2088661008604
lambda a, b: len(a) == 9;1.0;0.8637118971271108;1.0;0.0032279182254214556;1.0;1.0;0.8076781176656227;446.47229688600964
lambda a, b: len(b) == 9;0.8637118971271108;1.0;0.0032279182254214556;1.0;1.0;0.8076781176656227;1.0;449.21139073193604
lambda a, b: len(a) == 10;1.0;1.0;1.0;0.0;1.0;1.0;0.864843404591998;235.56207074967378
lambda a, b: len(b) == 10;1.0;1.0;0.0;1.0;1.0;0.864843404591998;1.0;251.99663382523244
lambda a, b: len(a) != len(b);0.008504901148356225;0.008504901148356225;4.846011875148104e-05;4.846011875148104e-05;1.0;0.7011876711407212;0.7011876711407212;1322.9823275824701
lambda a, b: len(a) != 1;1.0;0.3772272347946205;1.0;0.0;1.0;1.0;0.7827367575959773;451.9504845778625
lambda a, b: len(b) != 1;0.3772272347946205;1.0;0.0;1.0;1.0;0.7827367575959773;1.0;451.9504845778625
lambda a, b: len(a) != 2;1.0;0.15406369722375446;1.0;0.0;1.0;1.0;0.7683109847559486;662.8607107141984
lambda a, b: len(b) != 2;0.15406369722375446;1.0;0.0;1.0;1.0;0.7683109847559486;1.0;638.2088661008604
lambda a, b: len(a) != 3;1.0;0.06282879355726734;1.0;0.0;1.0;1.0;0.7436590664958204;802.5544968564467
lambda a, b: len(b) != 3;0.06282879355726734;1.0;0.0;1.0;1.0;0.7436590664958204;1.0;766.9462768594029
lambda a, b: len(a) != 4;1.0;0.024764366545677263;1.0;0.0;1.0;1.0;0.7094455003911613;890.2054999260927
lambda a, b: len(b) != 4;0.024764366545677263;1.0;0.0;1.0;1.0;0.7094455003911613;1.0;846.3799983912697
lambda a, b: len(a) != 5;1.0;0.009443731423575463;1.0;0.0;1.0;1.0;0.6707631204489772;912.1182506935043
lambda a, b: len(b) != 5;0.009443731423575463;1.0;0.0;1.0;1.0;0.6707631204489772;1.0;868.2927491586813
lambda a, b: len(a) != 6;1.0;0.0035413486878069778;1.0;0.0;1.0;1.0;0.646844242426333;884.7273122342399
lambda a, b: len(b) != 6;0.0035413486878069778;1.0;0.0;1.0;1.0;0.646844242426333;1.0;846.3799983912697
lambda a, b: len(a) != 7;1.0;0.0013267510124116422;1.0;0.0;1.0;1.0;0.6673263119546221;797.0763091645938
lambda a, b: len(b) != 7;0.0013267510124116422;1.0;0.0;1.0;1.0;0.6673263119546221;1.0;766.9462768594029
lambda a, b: len(a) != 8;1.0;0.0004741798565953692;1.0;0.0;1.0;1.0;0.7296211850701839;654.643429176419
lambda a, b: len(b) != 8;0.0004741798565953692;1.0;0.0;1.0;1.0;0.7296211850701839;1.0;638.2088661008604
lambda a, b: len(a) != 9;1.0;0.00013141668733895884;1.0;0.0;1.0;1.0;0.7991578338352268;446.47229688600964
lambda a, b: len(b) != 9;0.00013141668733895884;1.0;0.0;1.0;1.0;0.7991578338352268;1.0;449.21139073193604
lambda a, b: len(a) != 10;1.0;0.0;1.0;1.0;1.0;1.0;0.8579594449761718;235.56207074967378
lambda a, b: len(b) != 10;0.0;1.0;1.0;1.0;1.0;0.8579594449761718;1.0;251.99663382523244
lambda a, b: len(a) >= len(b);0.08148102640945576;1.0;1.0;0.0;1.0;0.8710779717071931;0.8843571974533567;1303.808670660985
lambda a, b: len(b) >= len(a);1.0;0.08148102640945576;0.0;1.0;1.0;0.8843571974533564;0.871077971707193;1306.5477645069116
lambda a, b: len(a) >= 2;1.0;1.0;1.0;0.0;1.0;1.0;0.7921331910951954;454.68957842378893
lambda a, b: len(b) >= 2;1.0;1.0;0.0;1.0;1.0;0.7921331910951954;1.0;430.03773381045096
lambda a, b: len(a) >= 3;1.0;1.0;1.0;0.0;1.0;1.0;0.7920605795367637;597.1224584119637
lambda a, b: len(b) >= 3;1.0;1.0;0.0;1.0;1.0;0.7920605795367637;1.0;577.9488014904787
lambda a, b: len(a) >= 4;1.0;1.0;1.0;0.0;1.0;1.0;0.7905895438159531;723.12077532458
lambda a, b: len(b) >= 4;1.0;1.0;0.0;1.0;1.0;0.7905895438159533;1.0;692.9907430193891
lambda a, b: len(a) >= 5;1.0;1.0;1.0;0.0;1.0;1.0;0.7903825916038211;788.8590276268145
lambda a, b: len(b) >= 5;1.0;1.0;0.0;1.0;1.0;0.790382591603821;1.0;753.2508076297709
lambda a, b: len(a) >= 6;1.0;1.0;1.0;0.0;1.0;1.0;0.793707089624001;794.3372153186674
lambda a, b: len(b) >= 6;1.0;1.0;0.0;1.0;1.0;0.7937070896240009;1.0;758.7289953216236
lambda a, b: len(a) >= 7;1.0;1.0;1.0;0.0;1.0;1.0;0.8022132604259773;739.5553384001386
lambda a, b: len(b) >= 7;1.0;1.0;0.0;1.0;1.0;0.8022132604259781;1.0;709.4253060949477
lambda a, b: len(a) >= 8;1.0;1.0;1.0;0.0;1.0;1.0;0.8167774192630504;624.5133968712281
lambda a, b: len(b) >= 8;1.0;1.0;0.0;1.0;1.0;0.8167774192630503;1.0;605.3397399497431
lambda a, b: len(a) >= 9;1.0;1.0;1.0;0.0;1.0;1.0;0.8375582386390714;449.21139073193604
lambda a, b: len(b) >= 9;1.0;1.0;0.0;1.0;1.0;0.8375582386390716;1.0;446.47229688600964
